type,dt,fluxN,fluxS
mono,2016-12-05 20:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 20:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 20:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 21:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 21:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 21:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 21:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 22:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 22:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 22:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 22:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 23:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 23:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 23:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 23:00:00,216.87527549921663,222.4066936902385
diff,2016-12-06 00:00:00,654.0940826835076,677.6264910877986
mono,2016-12-06 00:00:00,254.3755280731763,262.2800341443354
wave,2016-12-06 00:00:00,106.19291368715753,109.62668403593766
ions,2016-12-06 00:00:00,216.46373570232169,222.0929999305843
diff,2016-12-06 01:00:00,654.0940826835076,677.6264910877986
mono,2016-12-06 01:00:00,254.3755280731763,262.2800341443354
wave,2016-12-06 01:00:00,106.19291368715753,109.62668403593766
ions,2016-12-06 01:00:00,216.46373570232169,222.0929999305843
diff,2016-12-06 02:00:00,654.0940826835076,677.6264910877986
mono,2016-12-06 02:00:00,254.3755280731763,262.2800341443354
wave,2016-12-06 02:00:00,106.19291368715753,109.62668403593766
ions,2016-12-06 02:00:00,216.46373570232169,222.0929999305843
diff,2016-12-06 03:00:00,691.8361665322757,716.7681350661512
mono,2016-12-06 03:00:00,273.57615359108496,284.43631643733164
wave,2016-12-06 03:00:00,128.40736029057308,126.04237725237833
ions,2016-12-06 03:00:00,223.14464606584266,228.0253771823635
diff,2016-12-06 04:00:00,825.0994601500577,844.4520266803501
mono,2016-12-06 04:00:00,322.0231245236247,327.86635795030935
wave,2016-12-06 04:00:00,144.91930040246922,146.54849259664468
ions,2016-12-06 04:00:00,237.57351641434218,242.67460214957651
diff,2016-12-06 05:00:00,754.2675992794043,776.3483277765627
mono,2016-12-06 05:00:00,294.6548064388926,300.79113970849374
wave,2016-12-06 05:00:00,130.5296686930211,133.90995464378963
ions,2016-12-06 05:00:00,229.85423887600007,234.6808299911409
diff,2016-12-06 06:00:00,696.0172540502391,721.474484810828
