type,dt,fluxN,fluxS
mono,2016-03-21 03:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 03:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 03:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 04:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 04:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 04:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 04:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 05:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 05:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 05:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 05:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 06:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 06:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 06:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 06:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 07:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 07:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 07:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 07:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 08:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 08:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 08:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 08:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 09:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 09:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 09:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 09:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 10:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 10:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 10:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 10:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 11:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 11:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 11:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 11:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 12:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 12:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 12:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 12:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 13:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 13:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 13:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 13:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 14:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 14:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 14:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 14:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 15:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 15:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 15:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 15:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 16:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 16:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 16:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 16:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 17:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 17:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 17:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 17:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 18:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 18:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 18:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 18:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 19:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 19:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 19:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 19:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 20:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 20:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 20:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 20:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 21:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 21:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 21:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 21:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 22:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 22:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 22:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 22:00:00,240.09155249294784,239.9215041253346
diff,2016-03-21 23:00:00,745.4210775839276,744.7788851602147
mono,2016-03-21 23:00:00,283.60596810275024,279.46528380110357
wave,2016-03-21 23:00:00,119.49529714729849,118.47633141141782
ions,2016-03-21 23:00:00,240.09155249294784,239.9215041253346
diff,2016-03-22 00:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 00:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 00:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 00:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 01:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 01:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 01:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 01:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 02:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 02:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 02:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 02:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 03:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 03:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 03:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 03:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 04:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 04:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 04:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 04:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 05:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 05:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 05:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 05:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 06:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 06:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 06:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 06:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 07:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 07:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 07:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 07:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 08:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 08:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 08:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 08:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 09:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 09:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 09:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 09:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 10:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 10:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 10:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 10:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 11:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 11:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 11:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 11:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 12:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 12:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 12:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 12:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 13:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 13:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 13:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 13:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 14:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 14:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 14:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 14:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 15:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 15:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 15:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 15:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 16:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 16:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 16:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 16:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 17:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 17:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 17:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 17:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 18:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 18:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 18:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 18:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 19:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 19:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 19:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 19:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 20:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 20:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 20:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 20:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 21:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 21:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 21:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 21:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 22:00:00,744.5780865918174,746.3698466071744
mono,2016-03-22 22:00:00,283.56221781916275,279.9054549542251
wave,2016-03-22 22:00:00,119.53047745829926,118.69182996798378
ions,2016-03-22 22:00:00,240.46425038363896,240.3330439222296
diff,2016-03-22 23:00:00,744.5780865918174,746.3698466071744
